movie_id,cast,crew,cast_size
42297,Cher,Steve Antin,33
802,James Mason,Stanley Kubrick,11
10375,Sylvester Stallone,Jim Gillespie,12
36586,Wesley Snipes,Guillermo del Toro,48
8536,Gene Hackman,Richard Lester,50
8046,Ben Affleck,Martin Brest,18
479,Samuel L  Jackson,John Singleton,12
9444,Meg Ryan,Gary Goldman,12
261023,Johnny Depp,Scott Cooper,65
285923,Kurt Russell,Robert Rodriguez,32
39437,Oprah Winfrey,Jonathan Demme,9
1950,Eric Bana,Curtis Hanson,8
9767,Vince Vaughn,Peyton Reed,16
11631,Meryl Streep,Phyllida Lloyd,26
524,Robert De Niro,Martin Scorsese,45
9907,Courteney Cox,Steve Oedekerk,20
808,Mike Myers,Andrew Adamson,29
72105,Mark Wahlberg,Seth MacFarlane,50
10312,Robin Williams,Tom Shadyac,28
2022,Adam Sandler,Steven Brill,13
37686,Joel Courtney,J J  Abrams,24
10201,Jim Carrey,Peyton Reed,20
9441,Julia Roberts,Chris Columbus,10
274167,Will Ferrell,Sean Anders,21
388,Denzel Washington,Spike Lee,64
2112,Mel Gibson,Brian Helgeland,14
10329,Laura Linney,Frank Marshall,21
13811,Nicolas Cage,Alex Proyas,17
8920,Bill Murray,Peter Hewitt,14
60308,Brad Pitt,Bennett Miller,67
6950,Dustin Hoffman,Wolfgang Petersen,14
225574,Liam Neeson,Jaume Collet Serra,28
2251,Richard Gere,Adrian Lyne,12
231,George Clooney,Stephen Gaghan,31
9754,Harrison Ford,Richard Loncraine,19
4421,Demi Moore,Ridley Scott,14
2649,Michael Douglas,David Fincher,46
588,Radha Mitchell,Christophe Gans,16
205587,Robert Duvall,David Dobkin,16
2116,Denzel Washington,Carl Franklin,12
1907,Leonardo DiCaprio,Danny Boyle,16
9879,Demi Moore,Andrew Bergman,18
38579,Owen Wilson,Tom Dey,18
44603,Matt Damon,Clint Eastwood,26
9691,Sylvester Stallone,Richard Donner,17
72710,Saoirse Ronan,Andrew Niccol,36
10782,John Travolta,John McTiernan,17
9573,Clint Eastwood,Clint Eastwood,18
69668,Daniel Craig,Jim Sheridan,20
9770,John Travolta,Costa Gavras,15
38363,Naomi Watts,Doug Liman,18
9923,Keira Knightley,Tony Scott,26
11863,David Caruso,William Friedkin,21
18501,Gerard Butler,Brian Taylor,29
329833,Ben Stiller,Ben Stiller,124
47327,Nicolas Cage,Patrick Lussier,51
10796,Jet Li,James Wong,19
1900,Michael Douglas,Steven Soderbergh,29
198184,Sharlto Copley,Neill Blomkamp,45
4547,Jodie Foster,David Fincher,16
6415,George Clooney,David O  Russell,17
181283,Tom Hardy,Daniel Espinosa,24
9896,Cuba Gooding Jr ,Jerry Zucker,20
167,Jeff Bridges,Iain Softley,30
1636,Elizabeth Hurley,Harold Ramis,11
5176,Russell Crowe,James Mangold,44
260346,Liam Neeson,Olivier Megaton,56
7504,Aamir Khan,Deepa Mehta,10
8592,Warren Beatty,Warren Beatty,25
1368,Sylvester Stallone,Ted Kotcheff,23
593,Donatas Banionis,Andrei Tarkovsky,10
9095,Julia Roberts,Stephen Frears,11
320,Al Pacino,Christopher Nolan,25
20533,Josh Brolin,Jimmy Hayward,26
1624,Jim Carrey,Tom Shadyac,13
113464,Laurence Olivier,Terence Young,14
82675,Liam Neeson,Olivier Megaton,31
10731,Susan Sarandon,Joel Schumacher,15
146233,Hugh Jackman,Denis Villeneuve,34
64328,Amy Adams,James Bobin,47
36647,Wesley Snipes,Stephen Norrington,48
9360,Jennifer Lopez,Luis Llosa,10
6282,Piper Perabo,David McNally,20
9487,Kevin Spacey,Andrew Stanton,16
768,Johnny Depp,Albert Hughes,26
10478,Kevin Costner,Ron Shelton,12
15045,Kenan Thompson,Joel Zwick,13
232672,Drew Barrymore,Frank Coraci,31
82525,Blake Lively,Oliver Stone,15
9759,Chris Evans,David R  Ellis,19
841,Kyle MacLachlan,David Lynch,21
2207,Bruce Willis,Richard Donner,21
9381,Vin Diesel,Mathieu Kassovitz,19
5955,Jack Nicholson,Sean Penn,16
9826,Billy Zane,Simon Wincer,15
10858,Anthony Hopkins,Oliver Stone,34
9457,Treat Williams,Stephen Sommers,15
2185,Tim Allen,Barry Sonnenfeld,33
116977,Charlie Sheen,Lawrence Kasanoff,21
68734,Ben Affleck,Ben Affleck,61
819,Robert De Niro,Barry Levinson,21
9623,Demi Moore,Brian Gibson,15
10895,Mel Blanc,Ben Sharpsteen,12
10468,Sandra Bullock,Betty Thomas,27
10027,Jet Li,Louis Leterrier,23
37233,Tom Cruise,Sydney Pollack,22
7443,Mel Gibson,Nick Park,14
11066,Eddie Murphy,Reginald Hudlin,13
136795,Sandra Bullock,Paul Feig,23
8095,Elizabeth Taylor,Joseph L  Mankiewicz,23
11560,Ashley Judd,Carl Franklin,36
18480,Sacha Baron Cohen,Larry Charles,11
2749,Robert De Niro,John Herzfeld,86
1830,Nicolas Cage,Andrew Niccol,20
79,Jet Li,Zhang Yimou,27
27936,Dany Boon,Jean Pierre Jeunet,12
65,Eminem,Curtis Hanson,19
240832,Scarlett Johansson,Luc Besson,59
4234,David Arquette,Wes Craven,23
257091,Will Ferrell,Etan Cohen,31
6114,Gary Oldman,Francis Ford Coppola,29
109410,Chadwick Boseman,Brian Helgeland,22
9036,Paul Walker,Frank Marshall,7
257211,Robert De Niro,Nancy Meyers,25
1677,Jamie Foxx,Taylor Hackford,24
187,Jessica Alba,Robert Rodriguez,52
9889,Gwyneth Paltrow,Bobby Farrelly,19
820,Kevin Costner,Oliver Stone,81
6073,Brad Pitt,Gore Verbinski,14
16996,Zac Efron,Burr Steers,49
10336,Michael Jai White,Mark A Z  Dipp ,10
48138,Liam Neeson,Jaume Collet Serra,18
1579,Rudy Youngblood,Mel Gibson,39
34851,Topher Grace,Nimr d Antal,12
209451,Christopher Walken,Clint Eastwood,71
4970,Halle Berry,Mathieu Kassovitz,11
11831,Morgan Freeman,Steven Spielberg,24
11011,Macaulay Culkin,Donald Petrie,10
39513,Seth Rogen,Greg Mottola,17
41446,David Arquette,Wes Craven,24
8224,Nicolas Cage,Joel Schumacher,16
10537,Val Kilmer,Oliver Stone,29
225886,Cameron Diaz,Jake Kasdan,28
10385,Meg Ryan,Diane Keaton,23
11431,Drew Barrymore,Bobby Farrelly,30
8850,Alec Baldwin,Russell Mulcahy,24
1833,Anthony Rapp,Chris Columbus,13
1683,Hilary Swank,Stephen Hopkins,15
62835,Zoe Saldana,Olivier Megaton,18
10718,Martin Henderson,Joseph Kahn,31
11062,Al Pacino,Harold Becker,7
10802,Elizabeth Berkley,Paul Verhoeven,23
10461,Sylvester Stallone,Stephen T  Kay,15
12704,Warren Beatty,Elaine May,11
194,Audrey Tautou,Jean Pierre Jeunet,55
8849,Jude Law,Charles Shyer,17
78698,Drew Barrymore,Ken Kwapis,38
9544,Stephen Dorff,William Malone,20
7288,Ben Stiller,Danny DeVito,26
14655,Samuel L  Jackson,Malcolm D  Lee,14
19898,Ben Foster,Christian Alvart,24
4965,Gary Sinise,Gary Fleder,11
15074,Devon Sawa,Christian Duguay,10
1272,Cillian Murphy,Danny Boyle,12
20542,Freddie Prinze Jr ,Marc F  Adler,15
266396,Sean Penn,Pierre Morel,28
8271,Shia LaBeouf,D J  Caruso,15
10428,Jonny Lee Miller,Iain Softley,25
110415,Chris Evans,Bong Joon ho,45
9495,Brandon Lee,Alex Proyas,16
16320,Nathan Fillion,Joss Whedon,44
12289,Chang Chen,John Woo,28
9099,Steve Martin,Jonathan Lynn,14
1957,Jennifer Lopez,Michael Apted,24
5852,Jennifer Lopez,Luis Mandoki,27
12508,Mark Wahlberg,Stephen Herek,16
25793,Gabourey Sidibe,Lee Daniels,22
1091,Kurt Russell,John Carpenter,12
87421,Vin Diesel,David Twohy,16
10871,Dennis Quaid,Jeb Stuart,12
68722,Joaquin Phoenix,Paul Thomas Anderson,28
14325,Rob Brown,Gary Fleder,8
312221,Michael B  Jordan,Ryan Coogler,74
23168,Ben Affleck,Ben Affleck,48
10488,Abigail Breslin,Jennifer Flackett,23
96721,Daniel Br hl,Ron Howard,25
334,Julianne Moore,Paul Thomas Anderson,29
23742,Bruce Willis,Kevin Smith,23
8966,Kristen Stewart,Catherine Hardwicke,26
8470,Denzel Washington,Nick Cassavetes,15
11001,Martin Lawrence,Les Mayfield,51
2163,Kurt Russell,Jonathan Mostow,15
8409,Vin Diesel,F  Gary Gray,15
222936,Bradley Cooper,Cameron Crowe,17
48171,Anthony Hopkins,Mikael H fstr m,12
782,Ethan Hawke,Andrew Niccol,12
365222,Donnie Yen,Wilson Yip,16
268,Jack Nicholson,Tim Burton,19
10054,Alexa PenaVega,Robert Rodriguez,16
44264,Jeff Bridges,Joel Coen,31
1598,Robert De Niro,Martin Scorsese,27
8065,Jim Sturgess,Robert Luketic,13
271718,Amy Schumer,Judd Apatow,34
11638,Bernie Mac,Kevin Rodney Sullivan,7
11459,Michael Angarano,Mike Mitchell,20
10806,Kevin Kline,Frank Oz,19
9348,Natasha Henstridge,Roger Donaldson,53
8843,Jennifer Lopez,Tarsem Singh,20
39486,Diane Lane,Randall Wallace,26
1273,Chris Evans,Kevin Munroe,15
13920,Cuba Gooding Jr ,Mike Tollin,6
1883,Denzel Washington,Spike Lee,69
89492,Paul Rudd,Judd Apatow,26
22949,Robin Williams,Walt Becker,22
609,Craig T  Nelson,Tobe Hooper,16
13051,Mark Wahlberg,John Moore,17
49530,Justin Timberlake,Andrew Niccol,26
423,Adrien Brody,Roman Polanski,74
2288,Julia Roberts,Mike Nichols,18
88794,Leonardo DiCaprio,Clint Eastwood,19
13515,Kiefer Sutherland,Alexandre Aja,9
169,Kevin Peter Hall,Stephen Hopkins,38
8090,Diane Lane,Gregory Hoblit,18
9541,Ben Affleck,Kevin Smith,14
94348,Tyler Perry,Rob Cohen,12
336004,Jeffrey Dean Morgan,Scott Mann,37
10410,Jack Nicholson,Danny DeVito,106
321741,Will Smith,Peter Landesman,72
59965,Taylor Lautner,John Singleton,34
14175,Ewan McGregor,Gary Chapman,15
11004,Michael Douglas,Curtis Hanson,15
98357,Mark Wahlberg,Allen Hughes,22
10012,Portia de Rossi,Wes Craven,16
268920,Reese Witherspoon,Anne Fletcher,114
119283,Jason Statham,Taylor Hackford,31
11823,Kirsten Dunst,Richard Loncraine,10
118957,Sharni Vinson,Kimble Rendall,17
849,Ken Marshall,Peter Yates,25
22787,Kate Beckinsale,Dominic Sena,17
37498,Jean Claude Van Damme,Tsui Hark,6
144336,Arnold Schwarzenegger,David Ayer,57
9616,Heath Ledger,Brian Helgeland,10
14113,Tim Allen,Peter Hewitt,15
285783,Joseph Gordon Levitt,Robert Zemeckis,65
9726,Russell Crowe,Ridley Scott,63
20763,Elijah Wood,Richard Donner,19
45958,Javier Bardem,Alejandro Gonz lez I  rritu,52
1969,Pen lope Cruz,Joachim R nning,17
127493,Nicolas Cage,Simon West,13
12429,Yuria Nara,Hayao Miyazaki,24
18254,Warren Beatty,Warren Beatty,36
10877,Steven Seagal,Andrzej Bartkowiak,27
10685,James Spader,Joe Charbanic,15
72387,Jason Statham,Boaz Yakin,15
12596,John Cusack,Mike Newell,5
13460,Rhona Mitra,Neil Marshall,56
8055,Kate Winslet,Stephen Daldry,26
50647,Paul Rudd,David Wain,31
10719,Will Ferrell,Jon Favreau,24
9294,John Travolta,Jon Turteltaub,16
11888,Jim Belushi,Brian Levant,9
9647,Bill Murray,Richard Donner,34
9353,Jack Black,Jared Hess,11
55721,Kristen Wiig,Paul Feig,27
10307,Patricia Arquette,Rupert Wainwright,15
22907,Chris Brown,John Luessenhop,18
45612,Jake Gyllenhaal,Duncan Jones,24
7305,Ethan Hawke,Frank Marshall,40
11519,Dan Aykroyd,Steven Spielberg,36
31867,Jude Law,Miguel Sapochnik,15
3587,Whoopi Goldberg,Norman Jewison,9
302156,Kevin Costner,Ariel Vromen,62
87502,Denzel Washington,Robert Zemeckis,18
698,Roger Moore,Lewis Gilbert,19
10559,Dennis Quaid,Gregory Hoblit,20
296099,Ed Helms,John Francis Daley,45
8012,John Travolta,Barry Sonnenfeld,16
1574,Catherine Zeta Jones,Rob Marshall,20
9032,Adam Sandler,Dennis Dugan,20
862,Tom Hanks,John Lasseter,13
1637,Keanu Reeves,Jan de Bont,58
72570,Rachel McAdams,Michael Sucsy,14
132363,Forest Whitaker,Lee Daniels,28
807,Brad Pitt,David Fincher,49
17654,Sharlto Copley,Neill Blomkamp,43
6557,Katherine Heigl,Anne Fletcher,31
82654,Nicholas Hoult,Jonathan Levine,36
59967,Joseph Gordon Levitt,Rian Johnson,34
9598,Christine Cavanaugh,Chris Noonan,18
8780,Tina Fey,Michael McCullers,19
9715,Sandra Bullock,Forest Whitaker,15
10521,Anne Hathaway,Gary Winick,28
227783,Will Arnett,Peter Lepeniotis,19
4133,Johnny Depp,Ted Demme,34
21972,Shad Moss,John Schultz,13
4347,Keira Knightley,Joe Wright,47
4105,Michael Douglas,Ridley Scott,53
9918,Josh Lucas,James Gartner,20
273481,Emily Blunt,Denis Villeneuve,41
307081,Jake Gyllenhaal,Antoine Fuqua,24
41233,Rick Malambri,Jon M  Chu,113
9266,Kate Bosworth,John Stockwell,15
50456,Saoirse Ronan,Joe Wright,18
