id,title,runtime,genre
5176,310 to Yuma,122.0,Western
260346,Taken 3,109.0,Thriller
7504,Earth,101.0,Drama
8592,Dick Tracy,103.0,Adventure
1368,First Blood,93.0,Action
593,Solaris,167.0,Drama
9095,Mary Reilly,104.0,Drama
320,Insomnia,118.0,Crime
20533,Jonah Hex,80.0,Action
1624,Liar Liar,86.0,Comedy
113464,Inchon,140.0,Drama
82675,Taken 2,91.0,Action
10731,The Client,119.0,Drama
146233,Prisoners,153.0,Drama
64328,The Muppets,103.0,Comedy
36647,Blade,120.0,Horror
9360,Anaconda,89.0,Adventure
6282,Coyote Ugly,100.0,Comedy
9487,A Bugs Life,95.0,Adventure
768,From Hell,122.0,Horror
10478,Tin Cup,135.0,Comedy
15045,Fat Albert,93.0,Comedy
232672,Blended,117.0,Comedy
82525,Savages,131.0,Crime
9759,Cellular,94.0,Action
841,Dune,137.0,Action
2207,16 Blocks,105.0,Action
9381,Babylon AD,101.0,Action
5955,The Pledge,123.0,Crime
9826,The Phantom,100.0,Adventure
10858,Nixon,192.0,History
9457,Deep Rising,106.0,Adventure
2185,Big Trouble,85.0,Action
116977,Foodfight,87.0,Animation
68734,Argo,120.0,Drama
819,Sleepers,147.0,Crime
9623,The Juror,118.0,Drama
10895,Pinocchio,88.0,Animation
10468,28 Days,103.0,Comedy
10027,Unleashed,103.0,Action
37233,The Firm,154.0,Drama
7443,Chicken Run,84.0,Animation
11066,Boomerang,117.0,Comedy
136795,The Heat,117.0,Action
8095,Cleopatra,248.0,Drama
11560,High Crimes,115.0,Drama
18480,Brno,83.0,Comedy
2749,15 Minutes,120.0,Action
1830,Lord of War,122.0,Crime
79,Hero,99.0,Drama
27936,Micmacs,100.0,Action
65,8 Mile,110.0,Drama
240832,Lucy,89.0,Action
4234,Scream 3,116.0,Horror
257091,Get Hard,100.0,Comedy
6114,Dracula,128.0,Romance
9036,Eight Below,120.0,Adventure
257211,The Intern,121.0,Comedy
1677,Ray,152.0,Drama
187,Sin City,124.0,Action
9889,Shallow Hal,114.0,Comedy
820,JFK,189.0,Drama
6073,The Mexican,123.0,Action
16996,17 Again,102.0,Comedy
10336,Spawn,96.0,Action
48138,Unknown,113.0,Action
1579,Apocalypto,139.0,Action
34851,Predators,107.0,Action
209451,Jersey Boys,134.0,Music
4970,Gothika,98.0,Horror
11831,Amistad,155.0,Drama
11011,Rihie Rih,95.0,Comedy
39513,Paul,104.0,Adventure
41446,Scream 4,111.0,Horror
8224,8MM,123.0,Thriller
10537,The Doors,140.0,Drama
225886,Sex Tape,97.0,Comedy
10385,Hanging Up,94.0,Comedy
11431,Fever Pitch,103.0,Comedy
8850,The Shadow,108.0,Adventure
1833,Rent,135.0,Drama
1683,The Reaping,99.0,Horror
62835,Colombiana,108.0,Action
10718,Torque,84.0,Action
11062,City Hall,111.0,Drama
10802,Showgirls,128.0,Drama
10461,Get Carter,102.0,Action
12704,Ishtar,107.0,Action
194,Amlie,122.0,Comedy
8849,Alfie,103.0,Comedy
78698,Big Miracle,107.0,Adventure
9544,FearDotCom,101.0,Horror
7288,Duplex,89.0,Action
14655,Soul Men,103.0,Comedy
19898,Pandorum,108.0,Action
4965,Impostor,102.0,Action
15074,Extreme Ops,93.0,Action
1272,Sunshine,107.0,Science Fiction
20542,Delgo,94.0,Adventure
266396,The Gunman,115.0,Action
